total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,mission_time_limit,mission_time,detection_probability_limit,detection_count_limit,largest_detection,number_of_searches,number_of_vehicles
2.0156788866,2.0156894433,2.0156947229643145,2.6192845987149533e-06,1.6874630451202393,1.71,12,10.5567,0.5,0.6931471805599453,0.16,30,8
2.015678088,2.015689044,2.015694074335641,2.4955911011643736e-06,1.9221899509429932,1.93,12,10.956,0.5,0.6931471805599453,0.17,30,7
2.015677388,2.015688694,2.015692648432633,1.9618270642054723e-06,6.117983102798462,6.13,12,11.306000000000001,0.5,0.6931471805599453,0.17,30,6
1.9973762423999997,1.9973881211999998,2.015688838498922,0.00916232408948526,40.4985249042511,40.51,12,11.8788,0.5,0.6931471805599453,0.22,29,5
1.9537760958,1.9537880478999998,2.015688302455952,0.0316821748513023,3600.0908658504486,3600.1,12,11.952100000000002,0.5,0.6931471805599453,0.25,27,4
1.5801760592000003,1.5801880296000002,1.9878244041978406,0.2579670058005864,3600.0630049705505,3600.07,12,11.9704,0.5,0.6931471805599453,0.25,18,3
1.1277760592000001,1.1277880296,1.226467278465818,0.08749804597661595,3600.0557720661163,3600.06,12,11.970399999999998,0.5,0.6931471805599453,0.22,12,2
2.0156788866,2.0156894433,2.0156947229643145,2.6192845987149533e-06,1.4918138980865479,1.5,12,10.5567,0.4,0.5108256237659907,0.16,30,8
2.015678088,2.015689044,2.015694074335641,2.4955911011643736e-06,1.976470947265625,1.99,12,10.956,0.4,0.5108256237659907,0.17,30,7
2.015677388,2.015688694,2.015692648432633,1.9618270642054723e-06,6.198695182800293,6.21,12,11.306000000000001,0.4,0.5108256237659907,0.17,30,6
1.9973762423999997,1.9973881211999998,2.015688838498922,0.00916232408948526,40.758338928222656,40.77,12,11.8788,0.4,0.5108256237659907,0.22,29,5
1.9537760958,1.9537880478999998,2.015688302455952,0.0316821748513023,3600.0891919136047,3600.1,12,11.952100000000002,0.4,0.5108256237659907,0.25,27,4
1.5801760592000003,1.5801880296000002,1.9878244041978406,0.2579670058005864,3600.0496690273285,3600.06,12,11.9704,0.4,0.5108256237659907,0.25,18,3
1.1277760592000001,1.1277880296,1.2264967807096203,0.0875242053638661,3600.0686621665955,3600.07,12,11.970399999999998,0.4,0.5108256237659907,0.22,12,2
2.0156777848000003,2.0156888924,2.015694393525189,2.7291538936872927e-06,2.5767178535461426,2.59,12,11.107599999999998,0.3,0.35667494393873245,0.16,30,8
2.0156761336,2.0156880668,2.015693663844687,2.7767414904227783e-06,9.583008050918579,9.59,12,11.9332,0.3,0.35667494393873245,0.2,30,7
2.0156762652,2.0156881326000002,2.0156929981320637,2.4138317752525728e-06,15.416122913360596,15.43,12,11.8674,0.3,0.35667494393873245,0.22,30,6
1.9973762192,1.9973881096,2.015692054155953,0.009163939881277637,13.731709003448486,13.74,12,11.890399999999996,0.3,0.35667494393873245,0.21,29,5
1.9537760958,1.9537880478999998,2.0156890893410946,0.03168257759976993,3600.1080780029297,3600.11,12,11.952099999999998,0.3,0.35667494393873245,0.25,27,4
1.5801760592000003,1.5801880296000002,1.8010413941927197,0.1397639777391714,3600.0630819797516,3600.07,12,11.970399999999998,0.3,0.35667494393873245,0.25,18,3
1.1277760592000001,1.1277880296,1.1386205510872813,0.009605104153413787,1518.1514689922333,1518.16,12,11.970400000000001,0.3,0.35667494393873245,0.22,12,2
2.0156778658,2.0156889329,2.0156943197173582,2.672444775816281e-06,3.3641300201416016,3.38,12,11.067099999999998,0.2,0.2231435513142097,0.15,30,8
2.015677149,2.0156885745,2.0156935299485945,2.458439590951346e-06,5.565459966659546,5.58,12,11.425499999999976,0.2,0.2231435513142097,0.17,30,7
2.0156766331999996,2.0156883165999995,2.015693350796649,2.4975074806279253e-06,2.681335926055908,2.69,12,11.683399999999999,0.2,0.2231435513142097,0.18,30,6
1.9973760405999998,1.9973880202999998,2.015691657343747,0.009163786333813052,4.318629026412964,4.33,12,11.9797,0.2,0.2231435513142097,0.21,29,5
1.9240761487999998,1.9240880743999997,2.0156889617302403,0.04760742948776136,3600.0580999851227,3600.06,12,11.925600000000003,0.2,0.2231435513142097,0.22,26,4
1.5793760592000001,1.5793880296,1.6500888034124477,0.04476466358324466,3600.0869970321655,3600.09,12,11.9704,0.2,0.2231435513142097,0.21,18,3
1.1277760592000001,1.1277880296,1.155344289081345,0.0244338995964681,3600.051985025406,3600.06,12,11.970400000000001,0.2,0.2231435513142097,0.22,12,2
1.9157800759999999,1.915790038,1.9577938023479118,0.02192503537170594,3600.1177628040314,3600.13,12,9.962,0.1,0.10536051565782628,0.11,26,8
1.7913812694,1.7913906347,1.8480922908080641,0.03165231246034727,3600.122943878174,3600.13,12,9.3653,0.1,0.10536051565782628,0.11,22,7
1.6241793622,1.6241896811,1.6749193889454024,0.031233856756832164,3600.1062490940094,3600.12,12,10.318899999999985,0.1,0.10536051565782628,0.11,18,6
1.4543814532,1.4543907265999998,1.4745885417740738,0.01388747521877526,3600.1856651306152,3600.2,12,9.273399999999999,0.1,0.10536051565782628,0.1,15,5
1.2356785890799633,1.23568936177837,1.2634898082250001,0.022497924888355857,3600.4170100688934,3600.42,12,10.772698406636293,0.1,0.10536051565782628,0.1,12,4
